company_name,industry,website,telephone,fax,address,address_maplink,email_home
Schnyder Mode Hinwil,Detailhandel mit Bekleidungszubehör und Bekleidung ohne ausgeprägten Schwerpunkt,http://www.schnydermode.ch/,tel:044 938 18 78,NA,"Untere Bahnhofstrasse 25
8340 Hinwil",https://www.google.com/maps/place/Untere%20Bahnhofstrasse%2025+8340+Hinwil,
business + design AG,Werbeagenturen,http://www.business-design.ch/,tel:062 386 05 05,NA,"Museumstrasse 702
4712 Laupersdorf",https://www.google.com/maps/place/Museumstrasse%20702+4712+Laupersdorf,bad link
Sabesa SA,Güterbeförderung im Strassenverkehr,http://www.sabesa.ch/,tel:091 859 22 81,NA,6595 Riazzino,https://www.google.com/maps/place/undefined+6595+Riazzino,lenzburg@sabesa.ch
Martin Kindler,Malerei,NA,tel:031 701 30 28,fax:031 701 30 28,"Hauptstrasse 38
3512 Walkringen",https://www.google.com/maps/place/Hauptstrasse%2038+3512+Walkringen,website not accessible
HS TEAM AG,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",NA,tel:041 670 11 11,fax:041 670 12 11,"Brünigstrasse 16
6055 Alpnach Dorf",https://www.google.com/maps/place/Br%C3%BCnigstrasse%2016+6055+Alpnach%20Dorf,website not accessible
hm projects SA,Entwicklung von Bauprojekten,http://www.hmeneghelli.com/,tel:091 971 65 06,NA,"Via Luganetto 3
6962 Viganello",https://www.google.com/maps/place/Via%20Luganetto%203+6962+Viganello,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Bruno Jakob AG,Elektroinstallation,http://brunojakob.ch/,tel:032 331 99 81,fax:032 331 01 91,"Lyss-Strasse 21
2560 Nidau",https://www.google.com/maps/place/Lyss-Strasse%2021+2560+Nidau,info@electro-gutjahr.ch
Reitverein Holziken,Sportvereine,http://www.reithalle-holziken.ch/,NA,NA,"Hauptstrasse 47
5043 Holziken",https://www.google.com/maps/place/Hauptstrasse%2047+5043+Holziken,bad link
Studer Metallbau,Mechanische Werkstätten,NA,tel:033 849 13 43,fax:033 849 14 69,"Talackerweg 1
3853 Niederried b. Interlaken",https://www.google.com/maps/place/Talackerweg%201+3853+Niederried%20b.%20Interlaken,website not accessible
Wernli Landtechnik GmbH,Grosshandel mit landwirtschaftlichen Maschinen und Geräten,NA,tel:056 443 17 73,fax:056 443 27 14,"Mühle 250
5112 Thalheim AG",https://www.google.com/maps/place/M%C3%BChle%20250+5112+Thalheim%20AG,website not accessible
Pizzeria Cucina-Amici Roger Hörmann,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.cucina-amici.ch/,tel:061 711 60 90,fax:061 713 94 80,"Angensteinerstrasse 6
4153 Reinach BL",https://www.google.com/maps/place/Angensteinerstrasse%206+4153+Reinach%20BL,pizzeria@cucina-amici.ch
Treubera Wohnliegenschaften AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",NA,NA,NA,"Schinerstrasse 3
3900 Brig",https://www.google.com/maps/place/Schinerstrasse%203+3900+Brig,website not accessible
Al Grott cafe,"Hotels, Gasthöfe und Pensionen ohne Restaurant",http://algrottcafe.ch/,tel:091 730 11 32,NA,"via Val Resa
6645 Brione sopra Minusio",https://www.google.com/maps/place/via%20Val%20Resa+6645+Brione%20sopra%20Minusio,
Zahnmedizin Romanshorn AG,Zahnarztpraxen,http://www.zaro.info/,tel:071 463 19 10,NA,"Neustrasse 18
8590 Romanshorn",https://www.google.com/maps/place/Neustrasse%2018+8590+Romanshorn,info@zaro.info
Marco Mini AG,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,NA,tel:031 331 88 40,fax:031 332 74 72,"Zielweg 7
3014 Bern",https://www.google.com/maps/place/Zielweg%207+3014+Bern,website not accessible
